,match,team,time,player,desc
0,22,a,11',Alex,Gol
1,22,a,14',Deivid,Gol
2,22,h,48',Luís Fabiano,Gol
3,22,a,51',Deivid,Gol de pênalti
4,22,h,62',Luís Fabiano,Gol de pênalti
5,22,a,68',Deivid,Gol de pênalti
6,93,h,10',Ferrugem,Gol
7,93,a,21',Luís Fabiano,Gol
8,93,a,34',Kaká,Gol
9,93,h,65',Lúcio Flávio,Gol
10,439,h,0',Diego,Gol
11,439,a,0',Luciano Santos,Gol
12,439,h,0',Alex,Gol
13,439,h,0',Fabiano,Gol
14,439,a,0',Fernandinho,Gol
15,495,a,0',Diego Lugano,Gol
16,495,h,0',Fernandinho,Gol
17,495,a,0',Luís Fabiano,Gol
18,495,h,0',Jádson,Gol
19,495,a,0',Diego Tardelli,Gol
20,495,h,0',Adriano Gabirú,Gol
21,545,a,0',Mota,Gol
22,545,a,0',Felipe Melo,Gol
23,545,a,0',Alex,Gol
24,555,a,17',Neto Gaúcho,Gol
25,555,h,29',Dudu,Gol de pênalti
26,555,h,60',Dudu,Gol
27,559,h,17',Galvão,Gol
28,559,a,26',Léo,Gol
29,559,h,43',Carlinhos,Gol
30,559,a,71',André Luis,Cartão vermelho
31,559,h,78',Chokito,Gol
32,559,a,82',Robinho,Gol
33,561,a,9',Romário,Gol
34,561,h,9',Selmir,Gol
35,561,h,29',Selmir,Gol
36,561,a,71',Ramon Menezes,Gol
37,561,a,74',Ramon Menezes,Gol
38,561,h,90',Rogério Souza,Gol de pênalti
39,563,h,29',Jucemar,Gol
40,563,a,70',Sidney Moraes,Cartão vermelho
41,565,h,15',Paulo Baier,Gol
42,565,h,59',Rodrigo Tabata,Gol
43,565,a,77',Dudu,Gol
44,565,a,84',Alex,Gol
45,566,a,57',Marcelinho,Gol
46,566,h,75',Leonardo Manzi,Gol
47,568,h,0',Vinícius,Cartão vermelho
48,568,h,0',Nilmar,Gol
49,572,a,3',Tuta,Gol
50,572,h,17',Romário,Gol
51,575,a,27',Túlio,Cartão vermelho
52,575,h,55',Diego,Gol
53,575,h,72',Diego,Gol
54,576,h,11',Fabrício Carvalho,Gol
55,580,h,18',Víctor Aristizábal,Gol
56,580,a,84',Alex,Gol
57,582,h,0',Grafite,Gol
58,584,h,14',Fernandes,Gol
59,584,a,29',Robinho,Gol
60,584,a,58',Claiton,Cartão vermelho
61,584,h,85',Sérgio Manoel,Gol
62,585,a,9',Edílson,Gol de pênalti
63,585,h,16',Vágner Love,Gol
64,585,h,18',León Muñoz,Gol
65,585,a,53',Pedro Silva,Gol
66,594,h,28',Leonardo Manzi,Gol
