match,date,time,home_team,away_team,goals_home,goals_away,referee,attendance,league,season,matchweek
0,29/03/2003,15:00,Atlético-PR,Grêmio,2,0,,,Serie A,2003,1
1,29/03/2003,15:00,Guarani,Vasco da Gama,4,2,,,Serie A,2003,1
2,30/03/2003,16:00,Cruzeiro,São Caetano,2,2,,,Serie A,2003,1
3,30/03/2003,16:00,Criciúma,Fluminense,2,0,,,Serie A,2003,1
4,30/03/2003,16:00,Vitória,Figueirense,1,1,,,Serie A,2003,1
5,30/03/2003,16:00,Flamengo,Coritiba,1,1,,,Serie A,2003,1
6,30/03/2003,16:00,Juventude,São Paulo,2,2,,,Serie A,2003,1
7,30/03/2003,16:00,Goiás,Paysandu,2,2,,,Serie A,2003,1
8,30/03/2003,16:00,Fortaleza,Bahia,0,0,,,Serie A,2003,1
9,30/03/2003,16:00,Internacional,Ponte Preta,1,1,,,Serie A,2003,1
10,30/03/2003,18:00,Santos,Paraná,2,2,,,Serie A,2003,1
11,30/03/2003,18:00,Corinthians,Atlético-MG,0,3,,,Serie A,2003,1
12,05/04/2003,16:00,Atlético-MG,Santos,0,0,,,Serie A,2003,2
13,05/04/2003,16:00,Coritiba,Internacional,0,1,,,Serie A,2003,2
14,05/04/2003,16:00,Fluminense,Fortaleza,1,1,,,Serie A,2003,2
15,05/04/2003,18:00,Grêmio,Guarani,3,1,,,Serie A,2003,2
16,06/04/2003,16:00,Bahia,Flamengo,1,2,,,Serie A,2003,2
17,06/04/2003,16:00,Paraná,Atlético-PR,3,0,,,Serie A,2003,2
18,06/04/2003,16:00,Figueirense,Corinthians,3,3,,,Serie A,2003,2
19,06/04/2003,16:00,São Caetano,Criciúma,3,2,,,Serie A,2003,2
20,06/04/2003,16:00,Paysandu,Vitória,1,2,,,Serie A,2003,2
21,06/04/2003,16:00,Ponte Preta,Juventude,1,0,,,Serie A,2003,2
22,06/04/2003,18:00,São Paulo,Cruzeiro,2,4,Giulliano Bozzano (DF),5580,Serie A,2003,2
23,06/04/2003,18:00,Vasco da Gama,Goiás,6,4,,,Serie A,2003,2
24,12/04/2003,16:00,Internacional,Bahia,2,0,,,Serie A,2003,3
25,12/04/2003,16:00,Santos,Figueirense,2,0,,,Serie A,2003,3
26,12/04/2003,16:00,Atlético-PR,Atlético-MG,1,2,,,Serie A,2003,3
27,12/04/2003,18:00,Corinthians,Paysandu,6,1,,,Serie A,2003,3
28,13/04/2003,16:00,Juventude,Coritiba,2,1,,,Serie A,2003,3
29,13/04/2003,16:00,Vitória,Vasco da Gama,2,1,,,Serie A,2003,3
30,13/04/2003,16:00,Guarani,Paraná,2,0,,,Serie A,2003,3
31,13/04/2003,16:00,Criciúma,São Paulo,1,1,,,Serie A,2003,3
32,13/04/2003,16:00,Goiás,Grêmio,1,1,,,Serie A,2003,3
33,13/04/2003,16:00,Fortaleza,São Caetano,1,1,,,Serie A,2003,3
34,13/04/2003,18:00,Cruzeiro,Ponte Preta,3,0,,,Serie A,2003,3
35,13/04/2003,18:00,Flamengo,Fluminense,4,1,,,Serie A,2003,3
36,09/04/2003,21:40,Paysandu,Santos,2,1,,,Serie A,2003,4
37,16/04/2003,20:30,Atlético-MG,Guarani,3,2,,,Serie A,2003,4
38,16/04/2003,20:30,Figueirense,Atlético-PR,1,1,,,Serie A,2003,4
39,16/04/2003,20:30,Bahia,Juventude,3,1,,,Serie A,2003,4
40,16/04/2003,20:30,Ponte Preta,Criciúma,1,1,,,Serie A,2003,4
41,16/04/2003,20:30,Grêmio,Vitória,2,1,,,Serie A,2003,4
42,16/04/2003,21:40,São Caetano,Flamengo,1,1,,,Serie A,2003,4
43,16/04/2003,21:40,Vasco da Gama,Corinthians,2,2,,,Serie A,2003,4
44,16/04/2003,21:40,Coritiba,Cruzeiro,3,4,,,Serie A,2003,4
45,17/04/2003,20:30,São Paulo,Fortaleza,3,1,,,Serie A,2003,4
46,17/04/2003,20:30,Paraná,Goiás,3,1,,,Serie A,2003,4
47,17/04/2003,20:30,Fluminense,Internacional,3,1,,,Serie A,2003,4
48,19/04/2003,16:00,Bahia,Atlético-MG,2,4,,,Serie A,2003,5
49,19/04/2003,16:00,São Caetano,Grêmio,1,1,,,Serie A,2003,5
50,19/04/2003,18:00,Flamengo,Santos,0,2,,,Serie A,2003,5
51,20/04/2003,16:00,Fortaleza,Atlético-PR,1,0,,,Serie A,2003,5
52,20/04/2003,16:00,Internacional,Corinthians,2,1,,,Serie A,2003,5
53,20/04/2003,16:00,Ponte Preta,Paysandu,4,4,,,Serie A,2003,5
54,20/04/2003,16:00,Criciúma,Guarani,1,0,,,Serie A,2003,5
55,20/04/2003,16:00,Juventude,Vitória,1,1,,,Serie A,2003,5
56,20/04/2003,16:00,São Paulo,Vasco da Gama,3,1,,,Serie A,2003,5
57,20/04/2003,18:00,Cruzeiro,Goiás,4,1,,,Serie A,2003,5
58,20/04/2003,18:00,Fluminense,Paraná,0,0,,,Serie A,2003,5
59,21/04/2003,20:30,Coritiba,Figueirense,1,0,,,Serie A,2003,5
60,26/04/2003,16:00,Atlético-MG,Coritiba,1,2,,,Serie A,2003,6
61,26/04/2003,16:00,Paraná,Bahia,3,1,,,Serie A,2003,6
62,26/04/2003,16:00,Vitória,Internacional,0,3,,,Serie A,2003,6
63,26/04/2003,18:00,Guarani,Cruzeiro,1,1,,,Serie A,2003,6
64,27/04/2003,16:00,Santos,Fortaleza,4,0,,,Serie A,2003,6
65,27/04/2003,16:00,Corinthians,Flamengo,1,1,,,Serie A,2003,6
66,27/04/2003,16:00,Grêmio,Fluminense,0,1,,,Serie A,2003,6
67,27/04/2003,16:00,Goiás,Juventude,7,0,,,Serie A,2003,6
68,27/04/2003,16:00,Atlético-PR,Criciúma,4,2,,,Serie A,2003,6
69,27/04/2003,16:00,Figueirense,Ponte Preta,0,0,,,Serie A,2003,6
70,27/04/2003,18:00,Vasco da Gama,São Caetano,1,0,,,Serie A,2003,6
71,27/04/2003,18:00,Paysandu,São Paulo,5,2,,,Serie A,2003,6
72,03/05/2003,16:00,Flamengo,Vitória,2,1,,,Serie A,2003,7
73,03/05/2003,16:00,Bahia,Grêmio,2,1,,,Serie A,2003,7
74,03/05/2003,18:00,Cruzeiro,Atlético-PR,5,2,,,Serie A,2003,7
75,04/05/2003,16:00,Coritiba,Paraná,2,1,,,Serie A,2003,7
76,04/05/2003,16:00,Internacional,Goiás,2,1,,,Serie A,2003,7
77,04/05/2003,16:00,Fortaleza,Corinthians,1,2,,,Serie A,2003,7
78,04/05/2003,16:00,Ponte Preta,Atlético-MG,2,1,,,Serie A,2003,7
79,04/05/2003,16:00,São Paulo,Figueirense,3,2,,,Serie A,2003,7
80,04/05/2003,16:00,Juventude,Guarani,1,1,,,Serie A,2003,7
81,04/05/2003,16:00,São Caetano,Paysandu,2,0,,,Serie A,2003,7
82,04/05/2003,18:00,Criciúma,Santos,1,3,,,Serie A,2003,7
83,04/05/2003,18:00,Fluminense,Vasco da Gama,0,0,,,Serie A,2003,7
84,10/05/2003,16:00,Goiás,Flamengo,1,1,,,Serie A,2003,8
85,10/05/2003,16:00,Santos,Cruzeiro,0,2,,,Serie A,2003,8
86,10/05/2003,16:00,Paraná,Ponte Preta,3,2,,,Serie A,2003,8
87,10/05/2003,18:00,Corinthians,Criciúma,3,0,,,Serie A,2003,8
88,11/05/2003,16:00,Vitória,Fortaleza,2,1,,,Serie A,2003,8
89,11/05/2003,16:00,Vasco da Gama,Bahia,1,1,,,Serie A,2003,8
90,11/05/2003,16:00,Guarani,Internacional,3,0,,,Serie A,2003,8
91,11/05/2003,16:00,Paysandu,Fluminense,2,2,,,Serie A,2003,8
